,Company Name,Industry,Symbol,Series,ISIN Code,MarketCap
376,REC Ltd.,Financial Services,RECLTD.NS,EQ,INE020B01018,426186702848.0
377,RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM.NS,EQ,INE743M01012,124477612032.0
378,RITES Ltd.,Construction,RITES.NS,EQ,INE320J01015,109265321984.0
379,Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO.NS,EQ,INE944F01028,187353137152.0
380,Rail Vikas Nigam Ltd.,Construction,RVNL.NS,EQ,INE415G01027,284917989376.0
381,Rain Industries Ltd,Chemicals,RAIN.NS,EQ,INE855B01025,55497089024.0
382,Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW.NS,EQ,INE961O01016,112235175936.0
383,Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO.NS,EQ,INE343B01030,151926030336.0
384,Rallis India Ltd.,Chemicals,RALLIS.NS,EQ,INE613A01020,43478409216.0
385,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF.NS,EQ,INE027A01015,62589001728.0
386,Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI.NS,EQ,INE703B01027,182824468480.0
387,RattanIndia Enterprises Ltd.,Services,RTNINDIA.NS,EQ,INE834M01019,55247138816.0
388,Raymond Ltd.,Textiles,RAYMOND.NS,EQ,INE301A01014,119879262208.0
389,Redington Ltd.,Services,REDINGTON.NS,EQ,INE891D01026,141553926144.0
390,Relaxo Footwears Ltd.,Consumer Durables,RELAXO.NS,EQ,INE131B01039,229447090176.0
391,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS,EQ,INE002A01018,17323338498048.0
392,Restaurant Brands Asia Ltd.,Consumer Services,RBA.NS,EQ,INE07T201019,55616868352.0
393,Rossari Biotech Ltd.,Chemicals,ROSSARI.NS,EQ,INE02A801020,48170053632.0
394,Route Mobile Ltd.,Telecommunication,ROUTE.NS,EQ,INE450U01017,93065347072.0
395,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD.NS,EQ,INE018E01016,801235337216.0
396,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS,EQ,INE123W01016,1292442402816.0
397,SJVN Ltd.,Power,SJVN.NS,EQ,INE002L01015,197079465984.0
398,SKF India Ltd.,Capital Goods,SKFINDIA.NS,EQ,INE640A01023,259789651968.0
399,SRF Ltd.,Chemicals,SRF.NS,EQ,INE647A01010,655914369024.0
400,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON.NS,EQ,INE775A01035,660394409984.0
401,Sanofi India Ltd.,Healthcare,SANOFI.NS,EQ,INE058A01010,159207079936.0
402,Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE.NS,EQ,INE806T01012,90805084160.0
403,Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER.NS,EQ,INE513A01022,483362308096.0
404,Sharda Cropchem Ltd.,Chemicals,SHARDACROP.NS,EQ,INE221J01015,46322962432.0
405,Shoppers Stop Ltd.,Consumer Services,SHOPERSTOP.NS,EQ,INE498B01024,85761105920.0
406,Shree Cement Ltd.,Construction Materials,SHREECEM.NS,EQ,INE070A01015,833058242560.0
407,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA.NS,EQ,INE087H01022,99400482816.0
408,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN.NS,EQ,INE721A01013,686863810560.0
409,Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL.NS,EQ,INE810G01011,98627067904.0
410,Siemens Ltd.,Capital Goods,SIEMENS.NS,EQ,INE003A01024,1286999900160.0
411,Sobha Ltd.,Realty,SOBHA.NS,EQ,INE671H01015,53118676992.0
412,Solar Industries India Ltd.,Chemicals,SOLARINDS.NS,EQ,INE343H01029,341686059008.0
413,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS.NS,EQ,INE073K01018,335188230144.0
414,Sonata Software Ltd.,Information Technology,SONATSOFTW.NS,EQ,INE269A01021,146822905856.0
415,Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH.NS,EQ,INE575P01011,375146217472.0
416,State Bank of India,Financial Services,SBIN.NS,EQ,INE062A01020,5489527095296.0
417,Steel Authority of India Ltd.,Metals & Mining,SAIL.NS,EQ,INE114A01011,372367294464.0
418,Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR.NS,EQ,INE00M201021,69247426560.0
419,Sterlite Technologies Ltd.,Telecommunication,STLTECH.NS,EQ,INE089C01029,60598145024.0
420,Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM.NS,EQ,INE258G01013,206721220608.0
421,Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC.NS,EQ,INE232I01014,74591379456.0
422,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA.NS,EQ,INE044A01036,2632425144320.0
423,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV.NS,EQ,INE424H01027,207584264192.0
424,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN.NS,EQ,INE660A01013,290220310528.0
425,Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST.NS,EQ,INE387A01021,262386466816.0
426,Sunteck Realty Ltd.,Realty,SUNTECK.NS,EQ,INE805D01034,55224250368.0
427,Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT.NS,EQ,INE399C01030,59329077248.0
428,Supreme Industries Ltd.,Capital Goods,SUPREMEIND.NS,EQ,INE195A01028,461061652480.0
429,Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR.NS,EQ,INE03QK01018,123069448192.0
430,Suzlon Energy Ltd.,Capital Goods,SUZLON.NS,EQ,INE040H01021,243530006528.0
431,Swan Energy Ltd.,Realty,SWANENERGY.NS,EQ,INE665A01038,60729192448.0
432,Syngene International Ltd.,Healthcare,SYNGENE.NS,EQ,INE398R01022,312586764288.0
433,TCI Express Ltd.,Services,TCIEXP.NS,EQ,INE586V01016,57523703808.0
434,TCNS Clothing Co. Ltd.,Textiles,TCNSBRANDS.NS,EQ,INE778U01029,26246406144.0
435,TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG.NS,EQ,INE690A01028,108721889280.0
436,TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST.NS,EQ,INE886H01027,69774458880.0
437,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR.NS,EQ,INE494B01023,638018060288.0
438,Tamilnad Mercantile Bank Ltd.,Financial Services,TMB.NS,EQ,INE668A01016,68053094400.0
439,Tanla Platforms Ltd.,Information Technology,TANLA.NS,EQ,INE483C01032,170163830784.0
440,Tata Chemicals Ltd.,Chemicals,TATACHEM.NS,EQ,INE092A01019,252723838976.0
441,Tata Communications Ltd.,Telecommunication,TATACOMM.NS,EQ,INE151A01013,453264015360.0
442,Tata Consultancy Services Ltd.,Information Technology,TCS.NS,EQ,INE467B01029,12324777754624.0
443,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM.NS,EQ,INE192A01025,797369106432.0
444,Tata Elxsi Ltd.,Information Technology,TATAELXSI.NS,EQ,INE670A01012,455882670080.0
445,Tata Investment Corporation Ltd.,Financial Services,TATAINVEST.NS,EQ,INE672A01018,121027215360.0
446,Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR.NS,EQ,IN9155A01020,2278094012416.0
447,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS.NS,EQ,INE155A01022,2255466004480.0
448,Tata Power Co. Ltd.,Power,TATAPOWER.NS,EQ,INE245A01021,694666919936.0
449,Tata Steel Ltd.,Metals & Mining,TATASTEEL.NS,EQ,INE081A01020,1436651880448.0
450,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML.NS,EQ,INE517B01013,161477214208.0
451,Teamlease Services Ltd.,Services,TEAMLEASE.NS,EQ,INE985S01024,41160941568.0
452,Tech Mahindra Ltd.,Information Technology,TECHM.NS,EQ,INE669C01036,1164920094720.0
453,Tejas Networks Ltd.,Telecommunication,TEJASNET.NS,EQ,INE010J01012,143370485760.0
454,The New India Assurance Company Ltd.,Financial Services,NIACL.NS,EQ,INE470Y01017,196029595648.0
455,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM.NS,EQ,INE331A01037,209673699328.0
456,Thermax Ltd.,Capital Goods,THERMAX.NS,EQ,INE152A01029,278130884608.0
457,Timken India Ltd.,Capital Goods,TIMKEN.NS,EQ,INE325A01013,243622100992.0
458,Titan Company Ltd.,Consumer Durables,TITAN.NS,EQ,INE280A01028,2642317410304.0
459,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM.NS,EQ,INE685A01028,656160260096.0
460,Torrent Power Ltd.,Power,TORNTPOWER.NS,EQ,INE813H01021,294762184704.0
461,Transport Corporation of India Ltd.,Services,TCI.NS,EQ,INE688A01022,58597208064.0
462,Trent Ltd.,Consumer Services,TRENT.NS,EQ,INE849A01020,609269186560.0
463,Trident Ltd.,Textiles,TRIDENT.NS,EQ,INE064C01022,169440673792.0
464,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI.NS,EQ,INE256C01024,66625269760.0
465,Triveni Turbine Ltd.,Capital Goods,TRITURBINE.NS,EQ,INE152M01016,129105739776.0
466,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA.NS,EQ,INE974X01010,622268186624.0
467,UCO Bank,Financial Services,UCOBANK.NS,EQ,INE691A01018,347089403904.0
468,UFLEX Ltd.,Capital Goods,UFLEX.NS,EQ,INE516A01017,31864182784.0
469,UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA.NS,EQ,INE405E01023,326617825280.0
470,UPL Ltd.,Chemicals,UPL.NS,EQ,INE628A01036,476335833088.0
471,UTI Asset Management Company Ltd.,Financial Services,UTIAMC.NS,EQ,INE094J01016,103504658432.0
472,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO.NS,EQ,INE481G01011,2343899496448.0
473,Union Bank of India,Financial Services,UNIONBANK.NS,EQ,INE692A01016,617519644672.0
474,United Breweries Ltd.,Fast Moving Consumer Goods,UBL.NS,EQ,INE686F01025,402345066496.0
475,United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N.NS,EQ,INE854D01024,737782661120.0
476,V-Guard Industries Ltd.,Consumer Durables,VGUARD.NS,EQ,INE951I01027,123035238400.0
477,V-Mart Retail Ltd.,Consumer Services,VMART.NS,EQ,INE665J01013,43996774400.0
478,V.I.P. Industries Ltd.,Consumer Durables,VIPIND.NS,EQ,INE054A01027,84234985472.0
479,Vaibhav Global Ltd.,Consumer Durables,VAIBHAVGBL.NS,EQ,INE884A01027,59144818688.0
480,Vardhman Textiles Ltd.,Textiles,VTL.NS,EQ,INE825A01020,106043195392.0
481,Varroc Engineering Ltd.,Automobile and Auto Components,VARROC.NS,EQ,INE665L01035,51252064256.0
482,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL.NS,EQ,INE200M01021,1039571812352.0
483,Vedant Fashions Ltd.,Consumer Services,MANYAVAR.NS,EQ,INE825V01034,311259299840.0
484,Vedanta Ltd.,Metals & Mining,VEDL.NS,EQ,INE205A01025,1031892893696.0
485,Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA.NS,EQ,INE043W01024,46161854464.0
486,Vinati Organics Ltd.,Chemicals,VINATIORGA.NS,EQ,INE410B01037,186816626688.0
487,Vodafone Idea Ltd.,Telecommunication,IDEA.NS,EQ,INE669E01016,383643648000.0
488,Voltas Ltd.,Consumer Durables,VOLTAS.NS,EQ,INE226A01021,252911943680.0
489,Welspun Corp Ltd.,Capital Goods,WELCORP.NS,EQ,INE191B01025,83682607104.0
490,Welspun India Ltd.,Textiles,WELSPUNIND.NS,EQ,INE192B01031,97180901376.0
491,Westlife Foodworld Ltd.,Consumer Services,WESTLIFE.NS,EQ,INE274F01020,138938974208.0
492,Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL.NS,EQ,INE716A01013,183672045568.0
493,Wipro Ltd.,Information Technology,WIPRO.NS,EQ,INE075A01022,2117544181760.0
494,Yes Bank Ltd.,Financial Services,YESBANK.NS,EQ,INE528G01035,519637794816.0
495,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA.NS,EQ,INE342J01019,232289566720.0
496,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL.NS,EQ,INE256A01028,211938508800.0
497,Zensar Technolgies Ltd.,Information Technology,ZENSARTECH.NS,EQ,INE520A01027,109903298560.0
498,Zomato Ltd.,Consumer Services,ZOMATO.NS,EQ,INE758T01015,689263869952.0
499,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE.NS,EQ,INE010B01027,620681035776.0
500,Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL.NS,EQ,INE768C01010,94279475200.0
501,eClerx Services Ltd.,Services,ECLERX.NS,EQ,INE738I01010,86989709312.0
